YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
1982,12,2,12.3,-1.59,5.36,9.83,12.77,20.12,7.34
1982,12,3,12.48,-1.35,5.56,10.05,12.98,20.78,7.8
1982,12,4,13.21,-0.99,6.11,10.64,12.87,21.44,8.57
1982,12,5,12.26,-0.92,5.67,9.59,11.77,19.4,7.63
1982,12,6,11.31,-2.46,4.43,8.51,11.13,18.31,7.18
1982,12,7,11.3,-4.49,3.4,7.96,12.6,18.73,6.13
1982,12,8,12.23,-3.74,4.24,8.58,11.91,19.4,7.49
1982,12,9,12.8,-2.63,5.08,9.66,13.4,20.67,7.27
1982,12,10,13.76,-1.27,6.25,11.01,13.31,22.55,9.24
1982,12,11,12.44,-1.08,5.68,9.29,9.73,18.57,8.84
1982,12,12,11.94,1.81,6.87,9.44,8.12,16.89,8.77
1982,12,13,13.33,0.95,7.14,10.96,10.39,19.96,9.57
1982,12,14,13.28,-0.35,6.47,10.11,9.38,19.61,10.23
1982,12,15,12.83,-1.6,5.61,9.62,10.21,19.37,9.15
1982,12,16,12.59,-1.62,5.48,9.63,11.65,19.92,8.27
1982,12,17,12.3,-1.98,5.16,9.44,12.59,19.86,7.26
1982,12,18,12.11,-2.35,4.87,9.34,13.29,20.3,7.01
1982,12,19,11.19,-1.66,4.76,8.83,10.87,17.86,6.99
1982,12,20,12.17,-3.44,4.37,8.62,11.06,18.76,7.69
1982,12,21,12.15,-3.73,4.22,8.8,11.42,19.12,7.69
1982,12,22,11.64,-4.32,3.66,8.41,11.27,18.53,7.26
1982,12,23,12.09,-2.22,4.94,9.39,12.71,20.17,7.46
1982,12,24,11.95,-0.85,5.55,9.98,11.2,18.66,7.47
1982,12,25,11.73,-2.93,4.4,8.69,10.95,18.23,7.28
1982,12,26,11.44,-3.15,4.15,7.98,9.91,17.65,7.73
1982,12,27,11.51,-3.35,4.08,8.11,9.17,16.69,7.51
1982,12,28,10.73,-1.95,4.39,8.98,10.44,16.65,6.23
1982,12,29,9.69,1.21,5.45,8.63,12.38,17.12,4.74
1982,12,30,9.45,-2.5,3.48,7.5,10.95,16.32,5.37
1982,12,31,8.77,-2.26,3.26,6.72,11.88,16.01,4.13
1983,1,1,9.2,-1.7,3.76,7.19,9.68,15.31,5.63
1983,1,2,7.8,-1.25,3.28,6.26,9.62,13.36,3.73
1983,1,3,8.13,-3.69,2.23,5.77,12.01,15.41,3.4
1983,1,4,8.71,-3.99,2.36,5.82,10.34,15.01,4.68
1983,1,5,8.71,-5.2,1.76,5.55,9.07,14.83,5.76
1983,1,6,8.09,-3.99,2.05,5.62,10.56,14.62,4.05
1983,1,7,8.55,-2.38,3.08,6.36,10.95,15.21,4.26
1983,1,8,8.41,-0.59,3.91,6.98,11.76,15.6,3.84
1983,1,9,8.51,-0.92,3.8,6.85,10.81,15.01,4.2
1983,1,10,7.79,-3.69,2.05,6.33,11.41,14.85,3.45
1983,1,11,8.4,-5.19,1.6,5.64,12.02,15.4,3.37
1983,1,12,8.93,-5.92,1.5,5.94,10.29,15.78,5.49
1983,1,13,9.12,-5.7,1.71,6.05,9.92,15.37,5.45
1983,1,14,9.08,-5.24,1.92,6.94,11.2,16.01,4.8
1983,1,15,9.32,-5.81,1.76,7.48,11.27,16.01,4.74
1983,1,16,10.08,-7.23,1.43,6.96,12.49,17.21,4.73
1983,1,17,10.78,-5.74,2.52,7.44,11.16,17.41,6.25
1983,1,18,12.28,-4.13,4.07,9.34,11.05,19.11,8.05
1983,1,19,11.44,-6.52,2.46,7.58,9.49,17.78,8.28
1983,1,20,11.33,-6.94,2.19,7.54,9.84,17.98,8.13
1983,1,21,11.72,-7.15,2.29,7.7,11.02,18.96,7.94
1983,1,22,12.51,-6.94,2.79,8.92,12.05,19.5,7.44
1983,1,23,13.21,-6.22,3.49,10.6,10.59,19.9,9.33
1983,1,24,12.51,-6.67,2.92,9.26,11.05,19.58,8.53
1983,1,25,12.23,-5.99,3.12,8.77,9.6,18.29,8.69
1983,1,26,11.65,-6.02,2.81,7.47,9.2,17.44,8.24
1983,1,27,12.88,-6.9,2.99,9.82,10.78,19.66,8.88
1983,1,28,10.28,2.37,6.33,10.51,8.21,14.92,6.71
1983,1,29,11.18,4.07,7.62,11.01,10.44,17.51,7.08
1983,1,30,9.69,-1.56,4.07,9.23,12.69,17.41,4.73
1983,1,31,9.28,-5.57,1.86,7.46,10.48,16.08,5.6
1983,2,1,8.76,-7.91,0.42,6.65,10.66,15.49,4.83
1983,2,2,8.15,-9.81,-0.84,6.31,10.93,14.88,3.95
1983,2,3,8.44,-11.87,-1.71,5.9,11.4,15.4,4.01
1983,2,4,8.55,-11.19,-1.31,5.65,10.45,14.95,4.51
1983,2,5,7.98,-9.88,-0.95,6.01,12.07,15.04,2.97
1983,2,6,9.44,-9.02,0.21,6.98,11.34,16.27,4.93
1983,2,7,10.34,-9.81,0.26,7.66,10.81,17.25,6.44
1983,2,8,10.62,-10.77,-0.08,8.45,9.84,16.9,7.07
1983,2,9,11.37,-9.41,0.98,9.8,13.25,19.58,6.33
1983,2,10,11.89,-9.26,1.31,9.44,12.62,19.35,6.73
1983,2,11,12.58,-10.02,1.28,9.94,11.41,19.77,8.36
1983,2,12,12.8,-9.45,1.68,10.22,14.87,20.57,5.7
1983,2,13,12.53,-6.15,3.19,10.8,9.0,17.78,8.78
1983,2,14,15.05,-1.07,6.99,14.44,16.15,24.43,8.28
1983,2,15,16.89,-0.1,8.4,15.38,14.4,25.61,11.21
1983,2,16,15.87,-4.22,5.83,14.09,14.15,24.35,10.2
1983,2,17,16.3,-6.13,5.08,13.96,11.88,23.19,11.32
1983,2,18,16.23,-6.11,5.06,15.45,14.33,24.63,10.3
1983,2,19,14.65,-4.68,4.98,13.54,12.6,22.1,9.51
1983,2,20,14.08,-5.06,4.51,12.94,12.78,21.53,8.75
1983,2,21,12.59,-3.57,4.51,12.4,12.87,19.8,6.92
1983,2,22,12.9,-3.06,4.92,12.44,13.16,20.59,7.43
1983,2,23,13.28,-4.56,4.36,12.38,14.62,21.23,6.61
1983,2,24,13.79,-4.91,4.44,12.47,11.38,20.36,8.98
1983,2,25,13.57,-3.38,5.1,12.88,13.62,21.48,7.86
